,Symbol,Sector,Date,Quarter,Intraday,SurpriseVal,Volume,Q
147,ABT,Health Care,2012-04-18,Q1/2012,-0.000663252277048,0.032,14726717.0,2012-Q1
148,ABT,Health Care,2012-07-18,Q2/2012,-0.00015176172763,0.013,13352852.0,2012-Q2
149,ABT,Health Care,2012-10-17,Q3/2012,-0.0396989230846,0.018,38188581.0,2012-Q3
150,ABT,Health Care,2013-01-23,Q4/2012,-0.00606051354074,0.014,14064086.0,2012-Q4
151,ABT,Health Care,2013-04-17,Q1/2013,0.0135725888214,0.008,13710139.0,2013-Q1
152,ABT,Health Care,2013-07-17,Q2/2013,-0.000836120401338,0.02,7466627.0,2013-Q2
153,ADBE,Technology,1999-03-18,Q1/1999,0.0217971434217,0.01,3588770.662,1999-Q1
154,ADBE,Technology,1999-06-17,Q2/1999,0.0058406734417,0.008,6903243.0,1999-Q2
155,ADBE,Technology,1999-09-16,Q3/1999,0.00836792185494,0.007,13893674.0,1999-Q3
156,ADBE,Technology,1999-12-16,Q4/1999,-0.00867052023121,0.012,22214976.0,1999-Q4
157,ADBE,Technology,2000-03-16,Q1/2000,0.115890521903,0.009,20138699.0,2000-Q1
158,ADBE,Technology,2000-06-15,Q2/2000,0.0142305639508,0.006,8901043.0,2000-Q2
159,ADBE,Technology,2000-09-14,Q3/2000,-0.0123465001885,0.013,5334821.0,2000-Q3
160,ADBE,Technology,2000-12-14,Q4/2000,-0.018973947813,0.026,21165058.0,2000-Q4
161,ADBE,Technology,2001-03-15,Q1/2001,-0.0807317631593,0.025,7546932.0,2001-Q1
162,ADBE,Technology,2001-06-14,Q2/2001,-0.0168702409962,0.027,10485528.0,2001-Q2
163,ADBE,Technology,2001-09-19,Q3/2001,-0.0548489608065,0.0,20379383.0,2001-Q3
164,ADBE,Technology,2001-12-13,Q4/2001,-0.0123456790123,-0.005,11354925.0,2001-Q4
165,ADBE,Technology,2002-03-14,Q1/2002,-0.0216803188314,0.009,6022282.0,2002-Q1
166,ADBE,Technology,2002-06-13,Q2/2002,-0.0268201503954,0.009,8654260.0,2002-Q2
167,ADBE,Technology,2002-09-12,Q3/2002,-0.009095547833,0.014,8029999.0,2002-Q3
168,ADBE,Technology,2002-12-12,Q4/2002,-0.0166985205096,0.012,6888580.0,2002-Q4
